phone_whatsapp,wa_verified,school_name,city,country,segment,lpr_name,lpr_instagram,school_instagram,website,lpr_status,hook,source_url,source,branches,google_rating,google_reviews,ig_followers,runs_ads,scale_score,tier,extra_phones
+77070706500,true,New Generation (Новое поколение),Алматы,KZ,abroad,Бахытжамал Сыздыкова,@bakhytsyzdykova,@ngec.kz,https://ngec.kz,A,"с 1999 года, авторизованный центр British Council",https://ngec.kz/,wa_link,2,,,17000,yes,7,whale,+77070043151;+77718509522;+77057076600;+77172972034;+77182511512;+77072633959;+77076103633
+996557117118,false,Ask Consulting,Бишкек,KG,abroad,Askat Kubanychbekov,@askatkubanychbekov,@ask_consulting.kg,https://www.ask.kg,A,"149K подписчиков в Instagram, 7 филиалов в 4 странах",https://www.ask.kg/contacts,tel_link,7,,,149000,no,7,whale,+996704117118
+77005069545,true,EduStream,Алматы,KZ,abroad,Наталья Мухамеджанова,,@edustream.kz,https://edustream.kz,B,"партнер British Council, офисы в Алматы и Астане",https://edustream.kz/,wa_link,2,,,23000,yes,7,whale,+77002456809;+77071014290;+77470941885;+77771973386;+77071203064;+77172572005
+77718080828,true,GSC Study,Астана,KZ,abroad,Венера Байжигитова,,@gscstudy,https://gscstudy.com,B,"Сеть в Астане и Алматы, 86K подписчиков Instagram",https://gscstudy.com/,wa_link,2,,,86000,yes,7,whale,
+77773556156,true,Caspian Training Group,Атырау,KZ,abroad,Дортман Инна Владимировна,,@caspian_training,https://www.ctgroup.kz,B,"20+ лет, центры в Алматы и Атырау, авторизованный центр British Council",https://www.ctgroup.kz/,wa_link,5,,,,yes,7,whale,+77750970135;+77717902033;+77717902034;+77122204997;+77773556154;+77750301919
+996559700800,false,Logos School,Бишкек,KG,abroad,Алтынбек Бегалиев,,@logos.group,https://logos-school.kg,B,5 филиалов в Бишкеке и офис в Алматы,https://logos-school.kg/,tel_link,5,,,44000,yes,7,whale,+996705700801;+996509176999;+996707963015;+77021683290
+77009176137,true,DNK Studio,Караганда,KZ,abroad,Наталья Приз,,@dnk_studio_krg,http://dnkstudio.kz,B,"45k IG, 3 филиала, 9 лет на рынке",http://dnkstudio.kz/,wa_link,3,,,45000,yes,7,whale,
+77714381278,false,Oxford Team,Усть-Каменогорск,KZ,abroad,Евгений Наказненко,,@oxfordteamkz,https://oxford-team.kz,B,"12 филиалов в Усть-Каменогорске, Риддере и области",https://oxford-team.kz/,site_text,12,,,25000,yes,7,whale,+77773164077;+77083654485;+77477994197;+77078491454;+77073626714;+77073626715;+77073626717;+77771383270;+77056542845
+77029339933,true,Miss Akzharkyn & Ko,Шымкент,KZ,abroad,Акжаркын,,@missakzharkyn.ielts,https://missakzharkyn.kz,B,"Сеть из 4 филиалов в Шымкенте, партнёр IDP IELTS",https://missakzharkyn.kz/,wa_link,4,,,28000,yes,7,whale,+77478684242;+77027061919;+77012502550;+77012333030;+77028684242;+77252215027
+77777575757,true,InterPress International House,Алматы,KZ,ielts,Алла Липинская,,@interpress_official,https://www.interpress.kz,B,"5 филиалов, единственная в Средней Азии аккредитация International House",https://www.interpress.kz/,wa_link,5,,,25000,yes,7,whale,+77082231489;+77078833803;+77073377529;+77074499520;+77076677542;+77009661539
