rank,relevance_score,score_breakdown,phone_whatsapp,wa_verified,school_name,city,country,segment,lpr_name,lpr_instagram,school_instagram,website,lpr_status,hook,scale_score,ig_followers,branches,source_url,source
,45.9,scale12.9|reach30|pers3,+77752245269,true,Пифагорка,Уральск,KZ,other,,,@pifagorka.oral,,C,,3,,,https://pifagorka-zko.orgs.biz/,wa_link
,44.6,scale8.6|reach30|pers6,+77762517074,true,Wonderland,Алматы,KZ,other,,,@kids_wonder_almaty,https://wland.kz,C,"детский центр Wonderland, развитие детей 1-6 лет, продлёнка",2,,,https://wland.kz/,wa_link
,44.6,scale8.6|reach30|pers6,+77770338885,true,FasTracKids (центр раннего развития),Астана,KZ,other,,,,https://fastrackids.kz,C,"международная методика раннего развития, несколько центров в Астане (Бутина, Арена, Спутник)",2,,,https://fastrackids.kz/,wa_link
,41.6,scale8.6|reach30|pers3,+77782684186,true,"Мол АйТи (Mol IT, школа программирования)",Астана,KZ,other,,,@molit.astana,https://kursgo.kz,C,,2,,,https://kursgo.kz/,wa_link
,41.6,scale8.6|reach30|pers3,+77760773101,true,KIBERone,Атырау,KZ,other,,,@kiberone.atyrau,https://atyrau.kiber-one.kz/,C,,2,,,https://atyrau.kiber-one.kz/,wa_link
,41.5,scale21.5|reach14|pers6,+77755227733,false,Advance,Алматы,KZ,other,,,,https://advancecenter.kz,C,"сеть центров интеллектуального развития (с 2014), 3500+ учеников, 11000+ выпускников",5,,,https://advancecenter.kz/,site_text
,41.5,scale21.5|reach14|pers6,+77075061539,false,IQ007 (школа скорочтения и развития интеллекта),Астана,KZ,other,,,,https://iq007.ru/citylist/astana,C,"сеть школ скорочтения/каллиграфии/интеллекта (680 филиалов, лицензия), филиалы в Астане",5,,,https://iq007.ru/citylist/astana,tel_link
,41.5,scale21.5|reach14|pers6,+77076186118,false,IQ007,Уральск,KZ,other,,,@iq007uralsk_aksay,https://iq007.ru,C,"школа скорочтения, каллиграфии и развития интеллекта IQ007, филиал в Уральске",5,,,https://iq007.ru/citylist/uralsk,tel_link
,41.5,scale21.5|reach14|pers6,+77775225372,false,IT Step Academy,Уральск,KZ,other,,,@itstep.uralsk,https://uralsk.itstep.org,C,27 лет на рынке,5,,,https://uralsk.itstep.org/ru,tel_link
,40.3,scale4.3|reach30|pers6,+77089367255,true,Robot.kz,Алматы,KZ,other,,,@robot.kz,https://robot.kz,C,"робототехника, робокласс для детей 7-14 лет",1,,,https://robot.kz/,wa_link
,40.3,scale4.3|reach30|pers6,+77711035289,true,Harmony (центр скорочтения и развития),Астана,KZ,other,,,@harmony_education,https://harmony.kz,C,скорочтение и развитие памяти для детей и взрослых в Астане,1,,,https://harmony.kz/skorochtenie.html,wa_link
,40.3,scale4.3|reach30|pers6,+77751605378,true,Интеллект-сити (детский центр развития),Астана,KZ,other,,,@intellektcity,https://intellekt.centralschool.kz,C,детский центр развития на Богенбай батыра 56 (ЖК Фаворит),1,,,https://intellekt.centralschool.kz/,wa_link
,38.5,scale21.5|reach14|pers3,+77719902809,false,Advance (центр интеллектуального развития),Караганда,KZ,other,,,,https://advancecenter.kz,C,,5,,,https://advancecenter.kz/contacts.html,site_text
,37.3,scale4.3|reach30|pers3,+77003470091,true,Space Kids,Алматы,KZ,other,,,@spacekids.kz,https://spacekids.kz,C,,1,,,https://spacekids.kz/,wa_link
,37.2,scale17.2|reach14|pers6,+77059575150,false,IT STEP (Компьютерная Академия ШАГ),Алматы,KZ,other,,,@itstep.almaty,https://almaty.itstep.org,C,"международная IT-академия, работает с 1999 года, филиалы по Казахстану",4,,,https://almaty.itstep.org/,tel_link
,37.2,scale17.2|reach14|pers6,+77783095500,false,Leas,Алматы,KZ,other,,,@leas.kz,https://leas.kz,C,"робототехника и LEGO Education, официальный партнёр Lego, команды-победители First Lego League",4,,,https://leas.kz/,tel_link
,37.2,scale17.2|reach14|pers6,+77027037636,false,Advance (центр интеллектуального развития),Астана,KZ,other,,,,https://advancecenter.kz,C,"сеть центров интеллектуального развития, работает с 2014 года, личный кабинет ученика",4,,,https://advancecenter.kz/ru,site_text
,37.2,scale17.2|reach14|pers6,+77070600504,false,Бэби-клуб (центр развития детей),Астана,KZ,other,,,,https://baby-club.ru/clubs/nursultan/13magistral/,C,"сеть центров развития малышей с 2000 года, клуб на 13 магистрали (Астана)",4,,,https://baby-club.ru/clubs/nursultan/13magistral/,tel_link
,36.0,scale0.0|reach30|pers6,+77001230795,true,Boshon Robotics,Алматы,KZ,other,,,@boshon_education,https://boshon.kz,C,курсы робототехники для детей 8-14 лет (LEGO),0,,,https://www.boshon.kz/,wa_link
,36.0,scale0.0|reach30|pers6,+77771252775,true,Bala Like,Алматы,KZ,other,,,@bala_like_ala,https://balalike.kz,C,детский центр коррекции и развития,0,,,https://balalike.kz/,wa_link
,36.0,scale0.0|reach30|pers6,+77072525095,true,"BYTE (Байт, развивающие занятия для детей)",Астана,KZ,other,,,@1bt.kz,https://1bt.kz,C,развивающие занятия и робототехника для детей в Астане,0,,,https://1bt.kz/,wa_link
,35.5,scale21.5|reach11|pers3,+77022470000,false,Coddy,Шымкент,KZ,other,,,,https://shymkent.coddyschool.com,C,,5,,,https://kursy-shymkent.kz/course/childs/programming-kids,catalog
,34.2,scale17.2|reach14|pers3,+77084396200,false,KIBERone Караганда,Караганда,KZ,other,,,@krg.kiber.one,https://karaganda.kiber-one.kz,C,,4,,,https://karaganda.kiber-one.kz/,tel_link
